Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS107
TCGA-IB-7893-01A-11D-2201-08	12	6	0	7	12	0
TCGA-IB-7897-01A-21D-2201-08	3	0	0	0	0	0
TCGA-IB-8126-01A-11D-2396-08	2	7	3	0	0	0
TCGA-IB-8127-01A-11D-2396-08	30	11	0	0	0	0
TCGA-IB-A5SO-01A-11D-A32N-08	14	12	0	0	0	0
TCGA-IB-A5SP-01A-11D-A32N-08	18	25	0	0	0	0
TCGA-IB-A5SQ-01A-11D-A32N-08	12	10	0	0	13	0
TCGA-IB-A5SS-01A-11D-A32N-08	14	21	0	0	0	0
TCGA-IB-A5ST-01A-11D-A32N-08	2	1	0	4	0	0
TCGA-IB-A6UF-01A-23D-A33T-08	29	11	0	11	0	0
TCGA-IB-A6UG-01A-32D-A33T-08	38	11	0	0	18	0
TCGA-IB-A7LX-01A-12D-A36O-08	4	17	0	5	10	0
TCGA-IB-A7M4-01A-11D-A36O-08	23	31	0	0	0	0
TCGA-IB-AAUM-01A-11D-A377-08	6	9	0	0	0	0
TCGA-IB-AAUN-01A-12D-A38G-08	10	16	0	0	0	0
TCGA-IB-AAUO-01A-12D-A38G-08	18	25	0	0	0	0
TCGA-IB-AAUP-01A-11D-A377-08	17	16	0	0	0	0
TCGA-IB-AAUQ-01A-22D-A40W-08	26	16	0	0	18	0
TCGA-IB-AAUR-01A-21D-A38G-08	0	3	0	0	1	0
TCGA-IB-AAUS-01A-12D-A38G-08	0	1	0	0	0	0
TCGA-IB-AAUT-01A-11D-A377-08	0	1	0	0	0	0
TCGA-IB-AAUU-01A-11D-A377-08	17	11	0	0	13	0
TCGA-IB-AAUW-01A-12D-A38G-08	0	1	0	0	0	0
TCGA-LB-A7SX-01A-11D-A33T-08	15	70	0	23	0	0
TCGA-LB-A8F3-01A-11D-A36O-08	3	28	0	0	5	0
TCGA-LB-A9Q5-01A-11D-A397-08	0	5	0	3	6	0
TCGA-M8-A5N4-01A-11D-A26I-08	22	11	0	0	0	0
TCGA-OE-A75W-01A-12D-A32N-08	15	19	0	13	39	0
TCGA-PZ-A5RE-01A-11D-A32N-08	12	13	0	0	0	0
TCGA-Q3-A5QY-01A-12D-A32N-08	0	0	0	0	2	0
TCGA-Q3-AA2A-01A-11D-A377-08	5	12	0	0	6	0
TCGA-RB-A7B8-01A-12D-A33T-08	24	13	0	0	11	0
TCGA-RB-AA9M-01A-11D-A397-08	8	7	0	8	0	0
TCGA-S4-A8RM-01A-11D-A377-08	16	15	0	0	12	0
TCGA-S4-A8RO-01A-12D-A377-08	38	23	0	0	0	0
TCGA-S4-A8RP-01A-11D-A36O-08	0	12	0	8	9	0
TCGA-US-A774-01A-21D-A32N-08	7	14	0	0	0	0
TCGA-US-A776-01A-13D-A33T-08	29	37	0	0	20	0
TCGA-US-A779-01A-11D-A32N-08	5	13	0	0	9	0
TCGA-US-A77E-01A-11D-A32N-08	42	33	0	0	0	0
TCGA-US-A77G-01A-11D-A32N-08	6	9	0	0	17	0
TCGA-XD-AAUG-01A-61D-A40W-08	2	11	0	3	0	0
TCGA-XD-AAUH-01A-42D-A40W-08	3	10	0	0	0	0
TCGA-XD-AAUI-01A-42D-A40W-08	12	9	0	10	0	0
TCGA-XD-AAUL-01A-21D-A397-08	10	9	0	0	16	0
TCGA-XN-A8T3-01A-11D-A36O-08	22	20	0	0	0	0
TCGA-XN-A8T5-01A-12D-A36O-08	3	11	0	0	0	0
TCGA-YB-A89D-01A-12D-A36O-08	8	13	2	4	0	0
TCGA-YH-A8SY-01A-11D-A377-08	18	6	0	11	21	0
TCGA-YY-A8LH-01A-11D-A36O-08	16	38	0	0	11	0
TCGA-Z5-AAPL-01A-12D-A40W-08	4	4	0	0	0	0
