Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-LB-A7SX-01A-11D-A33T-08	0	0	52	56
TCGA-LB-A8F3-01A-11D-A36O-08	2	0	15	19
TCGA-LB-A9Q5-01A-11D-A397-08	3	0	8	3
TCGA-M8-A5N4-01A-11D-A26I-08	0	22	10	1
TCGA-OE-A75W-01A-12D-A32N-08	30	8	46	2
TCGA-PZ-A5RE-01A-11D-A32N-08	0	19	0	6
TCGA-Q3-A5QY-01A-12D-A32N-08	1	1	0	0
TCGA-Q3-AA2A-01A-11D-A377-08	10	8	0	5
TCGA-RB-A7B8-01A-12D-A33T-08	7	41	0	0
TCGA-RB-AA9M-01A-11D-A397-08	0	2	21	0
TCGA-S4-A8RM-01A-11D-A377-08	8	30	0	5
TCGA-S4-A8RO-01A-12D-A377-08	7	54	0	0
TCGA-S4-A8RP-01A-11D-A36O-08	5	0	21	3
TCGA-US-A774-01A-21D-A32N-08	3	6	11	1
TCGA-US-A776-01A-13D-A33T-08	26	45	0	15
TCGA-US-A779-01A-11D-A32N-08	8	11	2	6
TCGA-US-A77E-01A-11D-A32N-08	0	32	43	0
TCGA-US-A77G-01A-11D-A32N-08	14	12	1	5
TCGA-XD-AAUG-01A-61D-A40W-08	0	0	12	4
TCGA-XD-AAUH-01A-42D-A40W-08	5	4	0	4
TCGA-XD-AAUI-01A-42D-A40W-08	3	3	25	0
TCGA-XD-AAUL-01A-21D-A397-08	12	14	6	3
TCGA-XN-A8T3-01A-11D-A36O-08	8	29	0	5
TCGA-XN-A8T5-01A-12D-A36O-08	0	1	9	4
TCGA-YB-A89D-01A-12D-A36O-08	0	6	13	8
TCGA-YH-A8SY-01A-11D-A377-08	13	20	23	0
TCGA-YY-A8LH-01A-11D-A36O-08	14	16	23	12
TCGA-Z5-AAPL-01A-12D-A40W-08	0	7	0	1
