Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-H8-A6C1-01A-11D-A32N-08	2.57E-01	8.77E-01	8.99E-01	2.71E-01
TCGA-HV-A5A3-01A-11D-A26I-08	5.70E-01	8.25E-01	8.25E-01	5.60E-01
TCGA-HV-A5A4-01A-11D-A26I-08	4.68E-01	9.53E-01	9.06E-01	3.40E-01
TCGA-HV-A5A5-01A-11D-A26I-08	5.67E-02	3.93E-01	4.35E-01	4.65E-01
TCGA-HV-A5A6-01A-11D-A26I-08	5.33E-01	1.12E+00	1.24E+00	6.00E-01
TCGA-HV-A7OL-01A-11D-A33T-08	4.87E-01	1.15E+00	1.26E+00	5.56E-01
TCGA-HV-A7OP-01A-11D-A33T-08	8.50E-01	1.11E+00	1.90E+00	1.44E+00
TCGA-HV-AA8V-01A-11D-A40W-08	2.82E-01	9.08E-01	9.90E-01	5.13E-01
TCGA-HV-AA8X-01A-11D-A397-08	7.47E-01	1.08E+00	1.09E+00	4.21E-01
TCGA-HZ-7289-01A-11D-2154-08	8.42E-01	1.46E+00	1.81E+00	1.14E+00
TCGA-HZ-7918-01A-11D-2154-08	8.05E-01	1.76E-01	1.73E+00	1.64E+00
TCGA-HZ-7919-01A-11D-2154-08	7.00E-02	8.37E-01	1.38E+00	1.15E+00
TCGA-HZ-7920-01A-11D-2201-08	4.23E-02	3.02E-02	4.29E-02	4.98E-02
TCGA-HZ-7922-01A-11D-2154-08	4.64E-01	8.90E-01	9.14E-01	5.22E-01
TCGA-HZ-7925-01A-11D-2154-08	5.52E-01	7.03E-01	7.56E-01	1.81E-01
TCGA-HZ-7926-01A-11D-2154-08	6.39E-01	7.85E-01	8.40E-01	5.77E-01
TCGA-HZ-8001-01A-11D-2201-08	9.41E-01	7.99E-01	1.12E+00	7.14E-01
TCGA-HZ-8002-01A-11D-2201-08	2.71E-01	3.12E-01	2.33E-01	1.55E-01
TCGA-HZ-8003-01A-21D-2201-08	2.28E-01	3.47E-01	4.08E-01	3.37E-01
TCGA-HZ-8005-01A-11D-2201-08	3.62E-01	9.68E-01	1.13E+00	8.22E-01
TCGA-HZ-8315-01A-11D-2396-08	2.81E-01	1.17E+00	1.31E+00	8.70E-01
TCGA-HZ-8317-01A-11D-2396-08	0.00E+00	3.17E-01	3.78E-01	3.48E-01
TCGA-HZ-8636-01A-21D-2396-08	0.00E+00	1.01E+00	1.00E+00	5.41E-01
TCGA-HZ-8637-01A-11D-2396-08	4.00E-02	7.85E-01	8.57E-01	4.90E-01
