Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-3A-A9IR-01A-11D-A38G-08	1.02E-01	4.09E-01	3.44E-01	2.28E-01	3.91E-01	3.44E-01	2.84E-01	2.05E-01	3.03E-01	2.32E-01
TCGA-3A-A9IS-01A-21D-A397-08	1.09E-01	3.68E-01	4.74E-01	2.41E-01	2.92E-01	2.96E-01	5.88E-01	5.11E-01	6.04E-01	6.92E-01
TCGA-3A-A9IU-01A-11D-A397-08	2.74E-01	4.17E-01	5.07E-01	5.14E-01	5.65E-01	5.66E-01	4.45E-01	4.07E-01	4.41E-01	3.50E-01
TCGA-3A-A9IV-01A-11D-A40W-08	2.96E-01	5.01E-01	5.27E-01	7.98E-01	3.35E-01	5.44E-01	7.89E-01	6.43E-01	5.68E-01	4.14E-01
TCGA-3A-A9IX-01A-11D-A40W-08	4.11E-02	1.14E-01	3.88E-01	1.18E-01	4.22E-01	4.62E-01	1.65E-01	1.50E-01	1.04E-01	1.38E-01
TCGA-3A-A9IZ-01A-12D-A40W-08	2.85E-01	5.68E-01	3.97E-01	7.31E-01	6.13E-01	5.15E-01	5.07E-01	9.48E-01	9.07E-01	1.10E+00
TCGA-3A-A9J0-01A-11D-A40W-08	7.21E-01	7.75E-01	1.43E+00	8.80E-01	1.67E+00	1.42E+00	8.71E-01	4.65E-01	5.50E-01	3.98E-01
TCGA-3E-AAAY-01A-11D-A38G-08	2.57E-01	2.76E-01	4.79E-01	3.36E-01	4.41E-01	5.77E-01	3.90E-01	2.61E-01	4.37E-01	1.77E-01
TCGA-3E-AAAZ-01A-11D-A38G-08	2.92E-01	7.41E-01	7.16E-01	5.24E-01	7.06E-01	3.49E-01	7.56E-01	6.66E-01	5.98E-01	4.50E-01
TCGA-F2-6879-01A-11D-2154-08	2.03E-01	5.45E-01	6.19E-01	4.56E-01	6.90E-01	6.02E-01	4.62E-01	3.65E-01	2.51E-01	1.72E-01
TCGA-F2-6880-01A-11D-2154-08	0.00E+00	2.39E-02	1.00E-02	3.49E-02	1.00E-02	2.19E-02	3.59E-02	3.59E-02	4.02E-02	4.23E-02
TCGA-F2-7273-01A-11D-2154-08	0.00E+00	1.97E-02	1.41E-02	1.00E-02	1.97E-02	1.97E-02	1.97E-02	4.65E-02	3.38E-02	4.85E-02
TCGA-F2-A44G-01A-11D-A26I-08	5.37E-02	4.54E-01	7.82E-01	6.15E-01	7.86E-01	8.25E-01	6.47E-01	4.90E-01	3.72E-01	4.96E-01
TCGA-F2-A44H-01A-11D-A26I-08	1.18E-01	2.10E-01	2.24E-01	2.35E-01	2.63E-01	3.94E-01	3.03E-01	3.46E-01	4.29E-01	3.86E-01
TCGA-F2-A7TX-01A-33D-A38G-08	2.84E-01	8.27E-01	7.04E-01	5.90E-01	6.97E-01	4.90E-01	4.46E-01	5.20E-01	4.53E-01	5.53E-01
TCGA-F2-A8YN-01A-11D-A377-08	3.42E-01	4.24E-01	7.29E-01	5.81E-01	5.73E-01	7.95E-01	7.41E-01	5.43E-01	4.92E-01	4.94E-01
TCGA-FB-A4P6-01A-12D-A26I-08	0.00E+00	2.73E-02	2.19E-02	1.97E-02	2.73E-02	3.68E-02	3.59E-02	3.49E-02	3.68E-02	3.49E-02
TCGA-FB-A5VM-01A-11D-A32N-08	5.07E-01	5.90E-01	8.08E-01	5.91E-01	7.88E-01	5.94E-01	6.35E-01	9.14E-01	3.26E-01	5.84E-01
TCGA-FB-A78T-01A-12D-A32N-08	4.53E-01	4.02E-01	6.94E-01	4.09E-01	6.98E-01	7.17E-01	6.36E-01	4.92E-01	3.96E-01	6.25E-01
TCGA-FB-A7DR-01A-21D-A33T-08	3.95E-01	5.37E-01	4.95E-01	4.22E-01	6.51E-01	5.95E-01	5.23E-01	3.96E-01	5.48E-01	2.10E-01
TCGA-FB-AAPP-01A-12D-A40W-08	8.36E-01	8.25E-01	1.89E+00	8.73E-01	2.01E+00	1.84E+00	1.31E+00	7.96E-01	6.09E-01	3.22E-01
TCGA-FB-AAPQ-01A-11D-A40W-08	3.42E-01	3.69E-01	5.50E-01	2.91E-01	4.74E-01	7.41E-01	6.10E-01	4.59E-01	5.69E-01	3.87E-01
