Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-HZ-7920-01A-11D-2201-08	3.68E-02	3.38E-02	4.16E-02	1.97E-02	4.09E-02	4.29E-02
TCGA-HZ-7922-01A-11D-2154-08	4.24E-01	8.63E-01	7.32E-01	8.98E-01	4.45E-01	3.52E-01
TCGA-HZ-7925-01A-11D-2154-08	5.06E-01	6.58E-01	5.33E-01	6.86E-01	3.19E-01	1.01E-01
TCGA-HZ-7926-01A-11D-2154-08	5.65E-01	6.48E-01	6.64E-01	6.46E-01	4.76E-01	4.95E-01
TCGA-HZ-8001-01A-11D-2201-08	7.72E-01	1.02E+00	8.37E-01	7.59E-01	8.49E-01	5.86E-01
TCGA-HZ-8002-01A-11D-2201-08	2.35E-01	2.68E-01	2.11E-01	2.51E-01	1.76E-01	1.70E-01
TCGA-HZ-8003-01A-21D-2201-08	1.65E-01	2.87E-01	3.29E-01	2.44E-01	2.82E-01	3.47E-01
TCGA-HZ-8005-01A-11D-2201-08	2.52E-01	1.04E+00	7.88E-01	8.66E-01	8.50E-01	6.99E-01
TCGA-HZ-8315-01A-11D-2396-08	2.49E-01	1.29E+00	8.64E-01	9.83E-01	9.80E-01	7.36E-01
TCGA-HZ-8317-01A-11D-2396-08	0.00E+00	3.19E-01	2.94E-01	2.86E-01	1.99E-01	3.41E-01
TCGA-HZ-8636-01A-21D-2396-08	0.00E+00	1.03E+00	5.89E-01	9.53E-01	5.92E-01	5.70E-01
TCGA-HZ-8637-01A-11D-2396-08	2.00E-02	7.96E-01	4.41E-01	7.31E-01	5.96E-01	4.18E-01
TCGA-HZ-A49H-01A-11D-A26I-08	1.24E-01	3.31E-01	2.23E-01	3.62E-01	2.24E-01	7.70E-02
TCGA-HZ-A49I-01A-12D-A26I-08	2.46E-01	9.07E-01	9.67E-01	1.04E+00	6.09E-01	5.74E-01
TCGA-HZ-A4BH-01A-11D-A26I-08	2.47E-01	1.46E+00	7.90E-01	1.11E+00	1.15E+00	7.96E-01
TCGA-HZ-A4BK-01A-11D-A26I-08	5.24E-01	1.05E+00	8.18E-01	9.05E-01	6.21E-01	5.86E-01
TCGA-HZ-A77O-01A-11D-A33T-08	4.19E-01	6.01E-01	5.26E-01	5.10E-01	5.45E-01	4.70E-01
TCGA-HZ-A77P-01A-11D-A33T-08	3.46E-01	1.00E+00	6.16E-01	1.01E+00	4.55E-01	4.23E-01
TCGA-HZ-A77Q-01A-11D-A36O-08	3.37E-01	1.07E+00	8.88E-01	1.01E+00	7.56E-01	4.26E-01
TCGA-HZ-A8P0-01A-11D-A36O-08	6.14E-01	8.75E-01	6.51E-01	6.10E-01	6.99E-01	4.20E-01
TCGA-HZ-A8P1-01A-11D-A377-08	2.82E-01	1.08E+00	7.49E-01	9.27E-01	9.91E-01	8.76E-01
TCGA-HZ-A9TJ-01A-11D-A40W-08	5.13E-01	1.71E+00	1.22E+00	1.43E+00	1.11E+00	9.16E-01
TCGA-IB-7644-01A-11D-2154-08	2.02E-01	4.72E-01	5.31E-01	4.48E-01	4.28E-01	5.81E-01
TCGA-IB-7645-01A-22D-2201-08	4.10E-01	5.86E-01	4.30E-01	6.39E-01	4.80E-01	2.84E-01
