Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-FB-AAQ2-01A-31D-A40W-08	2.98E-01	5.88E-01	9.68E-01	9.67E-01	3.63E-01	1.38E-01	2.98E-01
TCGA-FB-AAQ3-01A-11D-A40W-08	4.77E-01	6.78E-01	8.22E-01	6.23E-01	9.04E-01	4.06E-01	4.59E-01
TCGA-FB-AAQ6-01A-11D-A40W-08	2.00E-01	1.15E+00	9.39E-01	9.32E-01	9.39E-01	9.09E-01	7.88E-01
TCGA-FZ-5919-01A-11D-1609-08	3.89E-01	5.46E-01	6.61E-01	5.92E-01	5.78E-01	3.59E-01	4.32E-01
TCGA-FZ-5920-01A-11D-1609-08	6.28E-01	1.20E+00	1.24E+00	1.14E+00	4.99E-01	5.65E-01	5.77E-01
TCGA-FZ-5921-01A-11D-1609-08	5.17E-01	1.06E+00	1.77E+00	1.73E+00	1.22E+00	4.08E-01	5.87E-01
TCGA-FZ-5922-01A-11D-1609-08	2.13E-01	7.23E-01	6.38E-01	6.56E-01	3.73E-01	5.78E-01	5.70E-01
TCGA-FZ-5923-01A-12D-1609-08	3.61E-01	1.44E+00	1.45E+00	1.49E+00	9.29E-01	3.11E-01	5.17E-01
TCGA-FZ-5924-01A-13D-1609-08	2.91E-01	7.13E-01	8.71E-01	7.53E-01	4.70E-01	3.41E-01	4.85E-01
TCGA-FZ-5926-01A-11D-1609-08	1.18E-01	7.34E-01	7.02E-01	6.94E-01	4.14E-01	3.72E-01	4.26E-01
TCGA-H6-8124-01A-11D-2396-08	2.72E-01	6.15E-01	8.63E-01	7.62E-01	6.12E-01	3.28E-01	5.22E-01
TCGA-H6-A45N-01A-11D-A26I-08	1.00E-02	4.09E-01	3.33E-01	3.18E-01	5.41E-01	6.48E-01	4.98E-01
TCGA-H8-A6C1-01A-11D-A32N-08	1.75E-01	5.94E-01	6.93E-01	7.18E-01	3.92E-01	2.21E-01	4.22E-01
TCGA-HV-A5A3-01A-11D-A26I-08	5.09E-01	6.67E-01	7.54E-01	6.96E-01	5.46E-01	3.67E-01	5.79E-01
TCGA-HV-A5A4-01A-11D-A26I-08	4.21E-01	7.24E-01	7.51E-01	9.35E-01	3.15E-01	2.87E-01	4.10E-01
TCGA-HV-A5A5-01A-11D-A26I-08	4.22E-02	4.64E-01	3.09E-01	2.53E-01	2.92E-01	4.94E-01	4.72E-01
TCGA-HV-A5A6-01A-11D-A26I-08	2.63E-01	1.01E+00	9.76E-01	9.56E-01	6.26E-01	3.93E-01	6.02E-01
TCGA-HV-A7OL-01A-11D-A33T-08	3.75E-01	8.24E-01	1.13E+00	9.64E-01	8.07E-01	3.42E-01	6.58E-01
TCGA-HV-A7OP-01A-11D-A33T-08	6.18E-01	1.29E+00	1.31E+00	9.83E-01	1.38E+00	1.34E+00	1.23E+00
TCGA-HV-AA8V-01A-11D-A40W-08	2.34E-01	5.99E-01	7.16E-01	7.42E-01	6.06E-01	3.07E-01	5.99E-01
TCGA-HV-AA8X-01A-11D-A397-08	7.17E-01	9.06E-01	9.07E-01	8.77E-01	5.97E-01	2.66E-01	4.65E-01
TCGA-HZ-7289-01A-11D-2154-08	7.98E-01	1.31E+00	1.51E+00	1.26E+00	9.49E-01	8.44E-01	1.16E+00
TCGA-HZ-7918-01A-11D-2154-08	8.75E-01	7.82E-01	5.29E-01	3.57E-01	1.25E+00	2.03E+00	1.85E+00
TCGA-HZ-7919-01A-11D-2154-08	8.17E-02	5.35E-01	7.95E-01	5.32E-01	8.49E-01	1.10E+00	4.87E-01
TCGA-HZ-7920-01A-11D-2201-08	3.14E-02	3.14E-02	3.38E-02	2.39E-02	3.78E-02	4.02E-02	4.16E-02
TCGA-HZ-7922-01A-11D-2154-08	4.29E-01	6.48E-01	8.12E-01	8.69E-01	3.58E-01	2.92E-01	6.18E-01
TCGA-HZ-7925-01A-11D-2154-08	5.28E-01	5.88E-01	5.62E-01	7.44E-01	3.68E-01	5.34E-02	3.26E-01
TCGA-HZ-7926-01A-11D-2154-08	5.05E-01	6.25E-01	6.08E-01	6.10E-01	5.85E-01	4.37E-01	4.62E-01
TCGA-HZ-8001-01A-11D-2201-08	7.82E-01	8.86E-01	8.47E-01	6.84E-01	6.98E-01	4.46E-01	6.53E-01
TCGA-HZ-8002-01A-11D-2201-08	1.80E-01	2.15E-01	2.68E-01	2.66E-01	1.80E-01	1.22E-01	1.80E-01
TCGA-HZ-8003-01A-21D-2201-08	1.27E-01	3.05E-01	2.99E-01	2.37E-01	2.35E-01	3.06E-01	2.03E-01
TCGA-HZ-8005-01A-11D-2201-08	1.91E-01	8.50E-01	9.73E-01	8.17E-01	8.18E-01	6.32E-01	6.09E-01
TCGA-HZ-8315-01A-11D-2396-08	1.95E-01	8.25E-01	1.05E+00	9.14E-01	1.04E+00	7.14E-01	6.52E-01
TCGA-HZ-8317-01A-11D-2396-08	0.00E+00	2.81E-01	2.84E-01	2.88E-01	2.41E-01	3.16E-01	2.51E-01
TCGA-HZ-8636-01A-21D-2396-08	0.00E+00	5.70E-01	9.67E-01	1.02E+00	6.27E-01	5.29E-01	4.39E-01
TCGA-HZ-8637-01A-11D-2396-08	1.00E-02	6.15E-01	7.61E-01	7.34E-01	4.70E-01	3.60E-01	4.53E-01
