Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-IB-AAUP-01A-11D-A377-08	0	0	0	0	8	22	0	3	0
TCGA-IB-AAUQ-01A-22D-A40W-08	0	21	0	3	21	0	4	11	0
TCGA-IB-AAUR-01A-21D-A38G-08	1	0	0	0	0	0	0	0	3
TCGA-IB-AAUS-01A-12D-A38G-08	0	0	0	0	0	0	1	0	0
TCGA-IB-AAUT-01A-11D-A377-08	0	0	0	0	0	0	0	0	1
TCGA-IB-AAUU-01A-11D-A377-08	6	6	2	3	16	0	4	4	0
TCGA-IB-AAUW-01A-12D-A38G-08	0	0	0	0	0	0	0	0	1
TCGA-LB-A7SX-01A-11D-A33T-08	0	0	0	39	0	0	58	11	0
TCGA-LB-A8F3-01A-11D-A36O-08	0	8	0	6	0	0	13	1	8
TCGA-LB-A9Q5-01A-11D-A397-08	0	4	0	7	0	1	0	2	0
TCGA-M8-A5N4-01A-11D-A26I-08	0	0	18	0	10	0	5	0	0
TCGA-OE-A75W-01A-12D-A32N-08	0	55	0	9	5	0	17	0	0
TCGA-PZ-A5RE-01A-11D-A32N-08	0	0	7	0	4	11	3	0	0
TCGA-Q3-A5QY-01A-12D-A32N-08	0	2	0	0	0	0	0	0	0
TCGA-Q3-AA2A-01A-11D-A377-08	7	1	0	0	1	10	0	4	0
TCGA-RB-A7B8-01A-12D-A33T-08	2	10	4	0	22	10	0	0	0
TCGA-RB-AA9M-01A-11D-A397-08	0	0	11	11	0	1	0	0	0
TCGA-S4-A8RM-01A-11D-A377-08	4	6	0	0	11	17	5	0	0
TCGA-S4-A8RO-01A-12D-A377-08	4	0	24	0	24	9	0	0	0
TCGA-S4-A8RP-01A-11D-A36O-08	0	9	0	9	0	0	0	0	11
TCGA-US-A774-01A-21D-A32N-08	0	0	2	4	0	13	2	0	0
TCGA-US-A776-01A-13D-A33T-08	16	17	0	0	21	17	12	3	0
TCGA-US-A779-01A-11D-A32N-08	0	9	10	0	0	4	0	2	2
TCGA-US-A77E-01A-11D-A32N-08	0	4	11	14	30	0	9	0	7
TCGA-US-A77G-01A-11D-A32N-08	0	26	0	0	3	0	3	0	0
TCGA-XD-AAUG-01A-61D-A40W-08	0	0	2	3	0	1	1	0	9
TCGA-XD-AAUH-01A-42D-A40W-08	0	0	2	0	0	2	0	0	9
TCGA-XD-AAUI-01A-42D-A40W-08	2	4	0	17	6	2	0	0	0
TCGA-XD-AAUL-01A-21D-A397-08	0	28	0	1	5	0	0	1	0
TCGA-XN-A8T3-01A-11D-A36O-08	0	5	30	0	7	0	0	0	0
TCGA-XN-A8T5-01A-12D-A36O-08	0	0	0	0	3	0	3	0	8
TCGA-YB-A89D-01A-12D-A36O-08	0	0	10	7	1	4	0	5	0
TCGA-YH-A8SY-01A-11D-A377-08	1	25	0	15	11	4	0	0	0
TCGA-YY-A8LH-01A-11D-A36O-08	0	24	18	3	4	3	9	3	1
TCGA-Z5-AAPL-01A-12D-A40W-08	0	0	5	0	3	0	0	0	0
